,nama,link,harga,img,kota,terjual
31,Jepitan Softlens,https://shopee.co.id/Jepitan-Softlens-i.17220153.1893423021?sp_atk=c0f8a6a3-b081-4255-9508-8d2fb0e59e8f&xptdk=c0f8a6a3-b081-4255-9508-8d2fb0e59e8f,Rp2.520 - Rp3.500,https://down-id.img.susercontent.com/file/7d582546503988dee5d894d4aa5a41cb_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
32,Cincin Simple Sterling Silver Hias untuk Wanita / Perhiasan Wanita Cincin Wanita Mini 15 Variasi,https://shopee.co.id/Cincin-Simple-Sterling-Silver-Hias-untuk-Wanita-Perhiasan-Wanita-Cincin-Wanita-Mini-15-Variasi-i.28824240.6508761997?sp_atk=1c1cfde7-d15c-422d-a353-b7e453184b81&xptdk=1c1cfde7-d15c-422d-a353-b7e453184b81,Rp6.600,https://down-id.img.susercontent.com/file/50a310ef4fd46d3053394d29b6633007_tn,KOTA TANGERANG,10RB+ Terjual
33,Scrunchie Jumbo / Ikat Rambut / Cepol Hijab,https://shopee.co.id/Scrunchie-Jumbo-Ikat-Rambut-Cepol-Hijab-i.37258061.10423626738?sp_atk=e724f15c-8729-4c08-bb17-e82399d0988a&xptdk=e724f15c-8729-4c08-bb17-e82399d0988a,Rp2.375 - Rp2.500,https://down-id.img.susercontent.com/file/c4fd7aae402c138870d0bfa79aacb82f_tn,KOTA BANDUNG,10RB+ Terjual
34,"PL-H005 ""PROMO"" Kacamata Hitam Wanita/Pria Sunglasses Korean INS Fashion KM04",https://shopee.co.id/PL-H005-PROMO-Kacamata-Hitam-Wanita-Pria-Sunglasses-Korean-INS-Fashion-KM04-i.53221054.3078457494?sp_atk=70e461fb-3cc7-4e87-81d9-be86eb63c607&xptdk=70e461fb-3cc7-4e87-81d9-be86eb63c607,Rp4.199,https://down-id.img.susercontent.com/file/3bb037a47301d67c3e03385ac5c0f473_tn,KOTA JAKARTA UTARA,10RB+ Terjual
35,SOFTLENS LC ADORE NORMAL / LC ADORE 14.4MM,https://shopee.co.id/SOFTLENS-LC-ADORE-NORMAL-LC-ADORE-14.4MM-i.17220153.167380996?sp_atk=4b8b68c9-a036-46f5-a456-a83f5f0b1163&xptdk=4b8b68c9-a036-46f5-a456-a83f5f0b1163,Rp21.500 - Rp28.500,https://down-id.img.susercontent.com/file/4d69b1d9f72fe26ba7f6072cb2f33dbc_tn,KOTA JAKARTA SELATAN,10RB+ Terjual
36,26 Macam Tatto Temporer temporary Random Aneka Gambar Tatto Water Resistant -BS,https://shopee.co.id/26-Macam-Tatto-Temporer-temporary-Random-Aneka-Gambar-Tatto-Water-Resistant-BS-i.114024778.20508957623?sp_atk=dd455794-1e9b-42f0-a131-cf284651179f&xptdk=dd455794-1e9b-42f0-a131-cf284651179f,Rp584 - Rp1.087,https://down-id.img.susercontent.com/file/a8a2dfed6234d227ed70941016d228a7_tn,KOTA BANDUNG,10RB+ Terjual
37,Ikat Rambut Korea Elastis / Kunciran Karet - Aksesoris Fashion - Aksesoris Rambut,https://shopee.co.id/Ikat-Rambut-Korea-Elastis-Kunciran-Karet-Aksesoris-Fashion-Aksesoris-Rambut-i.26580826.16320000350?sp_atk=206a0902-240d-41d3-825c-1918bf588bd0&xptdk=206a0902-240d-41d3-825c-1918bf588bd0,Rp1.111,https://down-id.img.susercontent.com/file/id-11134207-7quky-lgdi9y1zmg9ob9_tn,KOTA JAKARTA UTARA,10RB+ Terjual
38,FAB Kacamata  Hitam Korean Fashion kacamata Wanita Pria unisex Sunglassess,https://shopee.co.id/FAB-Kacamata-Hitam-Korean-Fashion-kacamata-Wanita-Pria-unisex-Sunglassess-i.358841411.8620964154?sp_atk=8e2c1e4d-a9b5-43ca-b70a-0cbbf54fce1c&xptdk=8e2c1e4d-a9b5-43ca-b70a-0cbbf54fce1c,Rp6.230 - Rp7.500,https://down-id.img.susercontent.com/file/e96595640fd1feb9a65f7dbb9896818a_tn,KOTA JAKARTA UTARA,10RB+ Terjual
39,Softlens New More Dubai / Softlen MY EYES / Soflens MY EYE Dubai,https://shopee.co.id/Softlens-New-More-Dubai-Softlen-MY-EYES-Soflens-MY-EYE-Dubai-i.375994.2482774074?sp_atk=78c881ca-adef-4fdb-84a7-cc7c105594b9&xptdk=78c881ca-adef-4fdb-84a7-cc7c105594b9,Rp8.730 - Rp23.999,https://down-id.img.susercontent.com/file/074a8199edd7e09b6a066b383e294a78_tn,KOTA JAKARTA UTARA,10RB+ Terjual
40,HYL JEWELRY COD Cincin Huruf Terbuka Kristal Emas Titanium Steel Mutiara Berlian Wanita Fashion Jewelry Ukuran Yang Dapat Disesuaikan s 1,https://shopee.co.id/HYL-JEWELRY-COD-Cincin-Huruf-Terbuka-Kristal-Emas-Titanium-Steel-Mutiara-Berlian-Wanita-Fashion-Jewelry-Ukuran-Yang-Dapat-Disesuaikan-s-1-i.580297639.17735033737?sp_atk=3689290b-f388-4d1f-9dd5-eec913d76718&xptdk=3689290b-f388-4d1f-9dd5-eec913d76718,Rp5.418,https://down-id.img.susercontent.com/file/8c41190c00c7fcb3a4140237623018bd_tn,KOTA JAKARTA UTARA,10RB+ Terjual
